Name,National,Region,Male_Pct,Female_Pct,Types,Type1,Type2,Height.m.,Weight.kg.,Capt_Rate,Egg_Steps,Egg_Groups,Group1,Group2,Exp_Points,Exp_Speed,Base_Happiness,Base_Total,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,Normal_Dmg,Fire_Dmg,Water_Dmg,Eletric_Dmg,Grass_Dmg,Ice_Dmg,Fight_Dmg,Poison_Dmg,Ground_Dmg,Flying_Dmg,Psychic_Dmg,Bug_Dmg,Rock_Dmg,Ghost_Dmg,Dragon_Dmg,Dark_Dmg,Steel_Dmg,Fairy_Dmg,Mega_Evolutions,isMega,hasAlolan,isAlolan,Generation,Legendary
Bulbasaur,1,Kanto,88.1,11.9,2,grass,poison,0.7,6.9,45,5120,2,Monster,Grass,1059862,Medium Slow,70,318,45,49,49,65,65,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Ivysaur,2,Kanto,88.1,11.9,2,grass,poison,1,13,45,5120,2,Monster,Grass,1059862,Medium Slow,70,405,60,62,63,80,80,60,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Venusaur,3,Kanto,88.1,11.9,2,grass,poison,2,100,45,5120,2,Monster,Grass,1059862,Medium Slow,70,525,80,82,83,100,100,80,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1,FALSE,FALSE,FALSE,1,FALSE
Mega Venusaur,3,Kanto,88.1,11.9,2,grass,poison,2.4,155.5,45,5120,2,Monster,Grass,1059862,Medium Slow,70,625,80,100,123,122,120,80,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,TRUE,FALSE,FALSE,1,FALSE
Charmander,4,Kanto,88.1,11.9,1,fire,None,0.6,8.5,45,5120,2,Monster,Dragon,1059862,Medium Slow,70,309,39,52,43,60,50,65,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Charmeleon,5,Kanto,88.1,11.9,1,fire,None,1.1,19,45,5120,2,Monster,Dragon,1059862,Medium Slow,70,405,58,64,58,80,65,80,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Charizard,6,Kanto,88.1,11.9,2,fire,flying,1.7,90.5,45,5120,2,Monster,Dragon,1059862,Medium Slow,70,534,78,84,78,109,85,100,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,2,FALSE,FALSE,FALSE,1,FALSE
Mega Charizard X,6,Kanto,88.1,11.9,2,fire,dragon,1.7,110.5,45,5120,2,Monster,Dragon,1059862,Medium Slow,70,634,78,130,111,130,85,100,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1,0,TRUE,FALSE,FALSE,1,FALSE
Mega Charizard Y,6,Kanto,88.1,11.9,2,fire,flying,1.7,100.5,45,5120,2,Monster,Dragon,1059862,Medium Slow,70,634,78,104,78,159,115,100,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,0,TRUE,FALSE,FALSE,1,FALSE
Squirtle,7,Kanto,88.1,11.9,1,water,None,0.5,9,45,5120,2,Monster,Water 1,1059862,Medium Slow,70,314,44,48,65,50,64,43,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,FALSE,FALSE,FALSE,1,FALSE
Wartortle,8,Kanto,88.1,11.9,1,water,None,1,22.5,45,5120,2,Monster,Water 1,1059862,Medium Slow,70,405,59,63,80,65,80,58,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,FALSE,FALSE,FALSE,1,FALSE
Blastoise,9,Kanto,88.1,11.9,1,water,None,1.6,85.5,45,5120,2,Monster,Water 1,1059862,Medium Slow,70,530,79,83,100,85,105,78,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,FALSE,FALSE,FALSE,1,FALSE
Mega Blastoise,9,Kanto,88.1,11.9,1,water,None,1.6,101.1,45,5120,2,Monster,Water 1,1059862,Medium Slow,70,630,79,103,120,135,115,78,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,TRUE,FALSE,FALSE,1,FALSE
Caterpie,10,Kanto,50,50,1,bug,None,0.3,2.9,255,3840,1,Bug,None,1000000,Medium Fast,70,195,45,30,35,20,20,45,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Metapod,11,Kanto,50,50,1,bug,None,0.7,9.9,120,3840,1,Bug,None,1000000,Medium Fast,70,205,50,20,55,25,25,30,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Butterfree,12,Kanto,50,50,2,bug,flying,1.1,32,45,3840,1,Bug,None,1000000,Medium Fast,70,395,60,45,50,90,80,70,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
