Identifier;"Competency Question /
 Natural language sentence (fact)";Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);Relation with other requirements (optional);Associated ontology elements (to be used after ontology  conceptualization assignment);;;;;;
REQ-01;¿Cuál es la cantidad de puntos de salud (HP) de un Pokémon?;Un número entero que representa su resistencia.;Accepted;Útil para calcular cuánto daño puede recibir antes de ser debilitado.;pokemon.csv (HP);;"Class: pokemon:Pokemon; Data property: pokemon:hp";;;;;;
REQ-02;"¿Qué valor de ""Attack"" tiene un Pokémon?";Un número entero de daño físico.;Accepted;Define el potencial de daño con movimientos físicos.;pokemon.csv (Attack);;"Class: pokemon:Pokemon; Data property: pokemon:attack";;;;;;
REQ-03;"¿Cuál es la capacidad defensiva (""Defense"") de un Pokémon?";Un número entero.;Accepted;Permite saber cuánto daño físico puede aguantar el Pokémon.;pokemon.csv (Defense);;"Class: pokemon:Pokemon; Data property: pokemon:defense";;;;;;
REQ-04;"¿Qué Pokémon tiene el ""Sp. Atk"" (Ataque Especial) más alto?";Nombre del Pokémon con mayor daño especial.;Accepted;Crucial para identificar atacantes que usan elementos (fuego, agua, etc.).;pokemon.csv (SpAtk);;"Class: pokemon:Pokemon; Data property: pokemon:spAtk";;;;;;
REQ-05;"¿Cuál es el valor de ""Sp. Def"" (Defensa Especial) de un Pokémon?";Un número entero.;Proposed;Determina la resistencia contra ataques especiales.;pokemon.csv (SpDef);;"Class: pokemon:Pokemon; Data property: pokemon:spDef";;;;;;
REQ-06;¿Qué Pokémon es el más rápido del dataset?;Nombre del Pokémon con mayor valor en la columna Speed.;Proposed;La velocidad decide qué Pokémon ataca primero en un turno.;pokemon.csv (Speed);;"Class: pokemon:Pokemon; Data property: pokemon:speed";;;;;;
REQ-07;¿Cuál es el Pokemon con el numero de base total más alto?;Nombre del Pokemon;Proposed;Sirve para saber que Pokemons es el más fuerte;DataSet2.csv (Base_Total);REQ-01, REQ-02, REQ-03, REQ-04, REQ-05;"Class: pokemon:Pokemon; Data property: pokemon:baseTotal";;;;;;
REQ-08;"¿Qué Pokémon de tipo ""Agua"" tiene una defensa superior a 100?";Lista de nombres de Pokémon.;Accepted;Útil para encontrar de un tipo específico.;pokemon.csv (Type1, Defense);REQ-03;"Classes: pokemon:Pokemon, pokemon:Tipo; Object property: pokemon:tieneTipoPrimario; Data property: pokemon:defense";;;;;;
REQ-09;"¿Existen Pokémon con un ""Attack"" mayor que su ""Sp. Atk""?";Lista de Pokémon con perfil físico.;Accepted;Ayuda a decidir qué tipo de entrenamiento darle al Pokémon.;pokemon.csv (Attack, SpAtk);REQ-02, REQ-04;"Class: pokemon:Pokemon; Data properties: pokemon:attack, pokemon:spAtk";;;;;;
REQ-10;¿Cuál es el Pokémon más lento  de la Generación 7?;Nombre del Pokémon.;Proposed;Ayuda a identificar los pokemons lentos de la generacion;pokemon.csv (Speed), DataSet2.csv (Generation);REQ-06;"Classes: pokemon:Pokemon, pokemon:Generacion; Object property: pokemon:perteneceAGeneración; Data property: pokemon:speed";;;;;;
REQ-11;"¿Qué Pokémon de tipo planta tienen un ""Total"" de estadísticas inferior a 600?";"Lista de Pokémon de tipo planta ""menores"".";Proposed;Para analizar el balance de los pokemons de tipo planta;pokemon.csv (Type1), DataSet2.csv (Base_Total);REQ-07;"Classes: pokemon:Pokemon, pokemon:Tipo; Object property: pokemon:tieneTipoPrimario; Data property: pokemon:baseTotal";;;;;;
REQ-12;¿Cuántos Pokemons de tipo fuego tienen un ataque mayor que 80?;Lista de Pokémons de tipo fuego con columna de ataque > 80;Accepted;Para analizar el balance de los pokemons de tipo fuego;pokemon.csv (Type1, Attack);REQ-02 ;"Classes: pokemon:Pokemon, pokemon:Tipo; Object property: pokemon:tieneTipoPrimario; Data property: pokemon:attack";;;;;;
REQ-13;¿Cuál es el promedio de Sp. Defense del los Pokemons de tipo roca.?;Numero entero con la media del Sp.Defense de los Pokemons de tipo roca;Proposed;Para analizar el balance de los pokemons de tipo roca;pokemon.csv (Type1, SpDef);REQ-03;"Classes: pokemon:Pokemon, pokemon:Tipo; Object property: pokemon:tieneTipoPrimario; Data property: pokemon:spDef";;;;;;
REQ-14;¿Cuántos Pokemons de tipo fuego están disponibles en la región Kanto?;Numero entero con la cantidad de Pokemons;Proposed;Para filtrar por tipo elemental y ubiación geográfica;pokemon.csv (Type1), DataSet2.csv (Region);;"Classes: pokemon:Pokemon, pokemon:Tipo, pokemon:Region; Object properties: pokemon:tieneTipoPrimario, pokemon:disponibleEnRegion";;;;;;
REQ-15;¿Cuál es el ratio de captura del Pokemon Bulbasaur?;Un número entero que representa el ratio de captura del Pokémon consultado.;Proposed;Útil para que el entrenador evalúe la dificultad de captura de un Pokémon concreto.;pokemon.csv (Form), DataSet2.csv (Capt_Rate);;"Class: pokemon:Pokemon; Data properties: pokemon:nombreForma, pokemon:captureRate";;;;;;
REQ-16;¿Existen Pokemons de tipo roca en la región Johto?;Booleano true/false indicando si existe al menos un Pokémon que cumpla ambos criterios.;Proposed;Útil para entrenadores que necesiten saber si pueden capturar Pokémon de un tipo específico en una región.;pokemon.csv (Type1), DataSet2.csv (Region);;"Classes: pokemon:Pokemon, pokemon:Tipo, pokemon:Region; Object properties: pokemon:tieneTipoPrimario, pokemon:disponibleEnRegion";;;;;;
REQ-17;¿Qué regiones contienen pokemons de tipo agua?;Lista de regiones ;Proposed;Útil para analizar el balance de pokemons de tipo agua;pokemon.csv (Type1), DataSet2.csv (Region);;"Classes: pokemon:Pokemon, pokemon:Tipo, pokemon:Region; Object properties: pokemon:tieneTipoPrimario, pokemon:disponibleEnRegion";;;;;;
REQ-18;¿Cuál es el listado de Pokemons en la región Sinnoh ordenado de mayor a menor dificultad de captura?;Listado ordenado ;Proposed;Útil para analizar el balance de una región con su ratio de capturidad;pokemon.csv (Form), DataSet2.csv (Region, Capt_Rate);;"Classes: pokemon:Pokemon, pokemon:Region; Object property: pokemon:disponibleEnRegion; Data properties: pokemon:nombreForma, pokemon:captureRate";;;;;;
REQ-19;¿Qué pokemon de la región Kanto tiene un ratio de captura menor a 50 y son de tipo planta?;Listado de Pokemons;Proposed;Útil para analizar el balance de una región con su ratio de capturidad y el pokemon;pokemon.csv (Form, Type1), DataSet2.csv (Region, Capt_Rate);;"Classes: pokemon:Pokemon, pokemon:Tipo, pokemon:Region; Object properties: pokemon:tieneTipoPrimario, pokemon:disponibleEnRegion; Data properties: pokemon:nombreForma, pokemon:captureRate";;;;;;
REQ-20;¿Cuál es el ratio de captura medio para el tipo fuego en la región Alola?;Numero promedio;Proposed;Útil para analizar el balance de captura en una región específica.;pokemon.csv (Type1), DataSet2.csv (Region, Capt_Rate);;"Classes: pokemon:Pokemon, pokemon:Tipo, pokemon:Region; Object properties: pokemon:tieneTipoPrimario, pokemon:disponibleEnRegion; Data property: pokemon:captureRate";;;;;;
REQ-21;Habilidades de un Pokémon; Lista de nombres de habilidades asociadas al Pokémon consultado;Proposed;Las habilidades determinan efectos pasivos en combate y son clave para diseñar estrategias de equipo.;pokemon.csv (Form), pokemon_species.csv (identifier, id), pokemon_abilities.csv (pokemon_id, ability_id), abilities.csv (identifier);;"Classes: pokemon:Pokemon, pokemon:Habilidad; Object property: pokemon:tieneHabilidad";;;;;;
REQ-22;Habilidad oculta;Nombre de la habilidad cuyo atributo is_hidden es verdadero;Proposed;Las habilidades ocultas son raras y suelen ser más potentes, por lo que son muy valoradas por entrenadores avanzados.;pokemon.csv (Form), pokemon_species.csv (identifier, id), pokemon_abilities.csv (pokemon_id, ability_id, is_hidden), abilities.csv (identifier);REQ-21;"Classes: pokemon:Pokemon, pokemon:Habilidad; Object property: pokemon:tieneHabilidad; Data property: pokemon:esHabilidadOculta";;;;;;
REQ-23;Pokémon que comparten una habilidad;Lista de nombres de Pokémon que poseen la habilidad consultada;Proposed;Útil para construir equipos con sinergias o sustituir un Pokémon manteniendo el mismo rol estratégico.;pokemon.csv (Form), pokemon_species.csv (identifier, id), pokemon_abilities.csv (pokemon_id, ability_id), abilities.csv (identifier);REQ-21;"Classes: pokemon:Pokemon, pokemon:Habilidad; Object property: pokemon:tieneHabilidad";;;;;;
REQ-24;¿Qué Pokémon de un hábitat concreto tienen un ratio de captura inferior a un valor dado?;Lista de nombres de Pokémon con su hábitat y ratio de captura.;Proposed;Combina hábitat y captureRate, útil para el Caso de Uso 5 (exploración por hábitat) y el Caso de Uso 2 (dificultad de captura). Permite al entrenador saber qué Pokémon difíciles encontrará en un entorno concreto.;pokemon.csv (Form), pokemon_species.csv (identifier, habitat_id), pokemon_habitats.csv (id, identifier), DataSet2.csv (Capt_Rate);REQ-15, REQ-28;"Classes: pokemon:Pokemon, pokemon:Habitat; Object property: pokemon:viveEnHabitat; Data property: pokemon:captureRate";;;;;;
REQ-25; Color predominante de un Pokémon;Nombre del color (black, blue, brown, gray, green, pink, purple, red, white, yellow);Proposed;Útil para completar colecciones temáticas o búsquedas visuales de Pokémon similares.;pokemon.csv (Form), pokemon_species.csv (identifier, color_id), pokemon_colors.csv (id, identifier);;"Classes: pokemon:Pokemon, pokemon:Color; Object property: pokemon:tieneColor";;;;;;
REQ-26;Pokémon con una forma corporal concreta;Lista de nombres de Pokémon cuya forma coincide con la consultada (ball, quadruped, humanoid, wings, etc.);Proposed;Permite agrupar Pokémon visualmente similares, útil tanto para colecciones como para análisis morfológico.;pokemon.csv (Form), pokemon_species.csv (identifier, shape_id), pokemon_shapes.csv (id, identifier);;"Classes: pokemon:Pokemon, pokemon:FormaCorporal; Object property: pokemon:tieneFormaCorporal";;;;;;
REQ-27;Combinación color + forma;Lista de nombres de Pokémon que cumplen ambos criterios (por ejemplo, color rojo y forma upright);Proposed;Combina dos criterios visuales para búsquedas más precisas, por ejemplo, encontrar Pokémon rojos y bípedos.;pokemon.csv (Form), pokemon_species.csv (identifier, color_id, shape_id), pokemon_colors.csv (id, identifier), pokemon_shapes.csv (id, identifier);REQ-25, REQ-26;"Classes: pokemon:Pokemon, pokemon:Color, pokemon:FormaCorporal; Object properties: pokemon:tieneColor, pokemon:tieneFormaCorporal";;;;;;
REQ-28;Hábitat de un Pokémon;Nombre del hábitat (cave, forest, grassland, mountain, rare, rough-terrain, sea, urban, waters-edge);Proposed;Permite planificar expediciones de exploración según el entorno (cueva, bosque, mar, etc.).;pokemon.csv (Form), pokemon_species.csv (identifier, habitat_id), pokemon_habitats.csv (id, identifier);;"Classes: pokemon:Pokemon, pokemon:Habitat; Object property: pokemon:viveEnHabitat";;;;;;
REQ-29;Combinación hábitat + habilidad;Lista de Pokémon con su hábitat asociado y sus habilidades correspondientes.;Proposed;Apoya la preparación del equipo según el terreno, por ejemplo, llevar Pokémon con habilidades acuáticas al mar.;pokemon.csv (Form), pokemon_species.csv (identifier, habitat_id, id), pokemon_habitats.csv (id, identifier), pokemon_abilities.csv (pokemon_id, ability_id), abilities.csv (identifier);REQ-21, REQ-28;"Classes: pokemon:Pokemon, pokemon:Habitat, pokemon:Habilidad; Object properties: pokemon:viveEnHabitat, pokemon:tieneHabilidad";;;;;;
REQ-30;Grupo de huevo;Nombre de los grupo(s) de huevo (Egg Group) al que pertenece el Pokémon;Proposed; Imprescindible para determinar qué Pokémon son compatibles entre sí para la crianza.;DataSet2.csv (Group1, Group2);;"Classes: pokemon:Pokemon, pokemon:EggGroup; Object property: pokemon:perteneceAEggGroup";;;;;;
REQ-31;Curva de crecimiento / experiencia;Nombre de la curva de experiencia (Slow, Medium Slow, Medium Fast, Fast, Erratic, Fluctuating).;Proposed;Permite estimar el esfuerzo relativo necesario para llevar a un Pokémon al nivel máximo según su tipo de curva.;DataSet2.csv (Exp_Speed);;"Classes: pokemon:Pokemon, pokemon:CurvaDeExperiencia; Object property: pokemon:tieneCurvaDeExperiencia";;;;;;
REQ-32;¿Qué Pokémon comparten el mismo grupo de huevo y pertenecen a la misma región?;Lista de pares de Pokémon agrupados por egg group y región.;Proposed;Combina EggGroup y Región, útil para el Caso de Uso 4 (planificación de crianza) y el Caso de Uso 2 (captura por región). Permite al entrenador identificar parejas compatibles para criar sin cambiar de región.;DataSet2.csv (Group1, Group2, Region);REQ-14, REQ-30;"Classes: pokemon:Pokemon, pokemon:EggGroup, pokemon:Region; Object properties: pokemon:perteneceAEggGroup, pokemon:disponibleEnRegion";;;;;;
REQ-33;¿Qué Pokémon de una generación concreta tienen curva de experiencia lenta (Slow) y un baseTotal superior a un valor dado?;Lista de nombres de Pokémon con su generación, curva de experiencia y baseTotal.;Proposed;Combina Generación, CurvaDeExperiencia y baseTotal, útil para el Caso de Uso 4 (entrenamiento) y el Caso de Uso 1 (potencial de combate). Permite identificar Pokémon potentes pero costosos de entrenar dentro de una generación.;DataSet2.csv (Generation, Exp_Speed), pokemon.csv (HP, Attack, Defense, SpAtk, SpDef, Speed);REQ-07, REQ-10, REQ-31;"Classes: pokemon:Pokemon, pokemon:Generacion, pokemon:CurvaDeExperiencia; Object properties: pokemon:perteneceAGeneración, pokemon:tieneCurvaDeExperiencia; Data property: pokemon:baseTotal";;;;;;
REQ-34;¿Qué Pokémon de un color determinado tienen habilidad oculta y viven en un hábitat concreto?;Lista de nombres de Pokémon con su color, habilidad oculta y hábitat.;Proposed;Combina Color, esHabilidadOculta y Hábitat, útil para el Caso de Uso 3 (búsqueda por características físicas) y el Caso de Uso 5 (exploración por hábitat). Permite búsquedas temáticas avanzadas que cruzan apariencia, rareza de habilidad y ubicación.;pokemon.csv (Form), pokemon_species.csv (identifier, color_id, habitat_id, id), pokemon_colors.csv (id, identifier), pokemon_habitats.csv (id, identifier), pokemon_abilities.csv (pokemon_id, ability_id, is_hidden), abilities.csv (identifier);REQ-22, REQ-25, REQ-28;"Classes: pokemon:Pokemon, pokemon:Color, pokemon:Habitat, pokemon:Habilidad; Object properties: pokemon:tieneColor, pokemon:viveEnHabitat, pokemon:tieneHabilidad; Data property: pokemon:esHabilidadOculta";;;;;;
